price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,sqft_living15,sqft_lot15,Scored Labels
258000.0,3,1.75,1620,7540,1.0,3,7,1310,310,1988,0,1580,7540,280668.6124867414
416500.0,3,1.0,1100,4184,1.0,4,7,1100,0,1965,0,1630,4366,253663.03399611567
945000.0,2,2.5,2540,7089,2.0,3,9,2540,0,2004,0,1330,7089,733486.8662754234
475000.0,3,1.0,1380,4635,1.0,4,6,1380,0,1919,0,1790,4635,361061.57609357464
473000.0,2,1.0,940,4000,1.0,3,6,720,220,1942,0,1180,6000,213194.1958351432
285000.0,3,1.75,2880,18296,1.0,3,8,1580,1300,1958,0,1380,9592,763385.668317833
788500.0,4,2.25,2510,133729,2.0,4,8,2510,0,1977,0,2510,69696,607706.3966793917
459000.0,4,2.75,2790,6600,2.0,3,9,2790,0,2000,0,2900,6752,745566.6365367735
653000.0,4,2.5,2160,7000,2.0,4,9,2160,0,1989,0,2300,7440,664294.8808029948
180000.0,3,1.0,1610,8500,1.5,3,7,1610,0,1959,0,1070,8750,344771.0359059605
249000.0,3,2.25,1440,7673,1.0,3,7,940,500,1982,0,1440,8418,294612.1822161309
650000.0,4,2.0,2208,5000,3.0,5,8,2208,0,1917,0,1760,5000,836080.528774831
615000.0,5,3.25,3090,7069,2.0,3,9,3090,0,2012,0,2480,8000,713802.8903144763
446450.0,3,1.5,1480,7749,1.0,5,7,1480,0,1960,0,1140,5320,371919.5350822264
195000.0,2,1.0,1280,7861,1.0,4,6,1280,0,1913,0,1020,6480,395122.69327994727
505000.0,3,2.0,1500,2500,2.0,3,8,1500,0,2002,0,1550,5000,361444.2314556355
576925.0,4,2.5,2630,6100,2.0,3,8,2630,0,2004,0,2360,5765,553192.3806617677
562000.0,3,1.75,1880,5978,1.0,5,7,940,940,1957,0,1930,4770,514290.4964008647
400000.0,4,1.5,1390,7200,1.0,3,7,1140,250,1965,0,1630,7702,261440.5499536054
800000.0,4,2.5,3691,11088,2.0,3,8,3691,0,2013,0,3190,11270,732532.9831231879
300000.0,6,2.5,3080,8163,1.0,3,7,1580,1500,1985,0,1850,8658,473836.9999436204
830000.0,3,1.5,1840,10125,1.0,4,8,1220,620,1959,0,2320,10160,588247.3325053885
458400.0,4,2.5,1910,10300,1.0,3,8,1910,0,1921,1968,1910,7750,745480.7350763972
682000.0,4,2.5,3030,30000,2.0,4,9,3030,0,1981,0,2600,34932,845865.4650497851
540500.0,5,3.75,3090,7415,2.0,3,8,3090,0,2014,0,2790,7425,617068.1401552141
